日期,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
10-17,"16,000","4,000","12,000",0,0,0,0,0,0,"-123,235",0,0,0,"710,249","833,484","-123,235","-111,235"
10-18,"21,272","108,000","-86,728",0,0,0,0,0,0,"-871,394",0,0,0,"1,353,000","2,224,394","-871,394","-958,122"
10-19,"16,000",0,"16,000",0,0,0,0,0,0,"-325,687",0,0,0,"554,000","879,687","-325,687","-309,687"
10-20,"47,634","24,000","23,634",0,0,0,0,0,0,"-503,895","41,000",0,"41,000","1,148,000","1,692,895","-544,895","-480,261"
10-23,"19,000","113,000","-94,000",0,0,0,0,0,0,"-709,041","87,000",0,"87,000","444,000","1,240,041","-796,041","-803,041"
10-24,"79,000","127,000","-48,000",0,0,0,0,0,0,"-543,451","36,000",0,"36,000","1,270,000","1,849,451","-579,451","-591,451"
10-25,"43,000","12,000","31,000",0,0,0,0,0,0,"-356,282","14,000",0,"14,000","510,000","880,282","-370,282","-325,282"
10-26,"208,492","190,000","18,492",0,0,0,0,0,0,"-1,701,083","100,000","136,000","-36,000","1,108,000","2,773,083","-1,665,083","-1,682,591"
10-27,"15,000","2,000","13,000",0,0,0,0,0,0,"-337,541","100,000",0,"100,000","976,000","1,413,541","-437,541","-324,541"
10-30,0,"86,000","-86,000",0,0,0,0,0,0,"-784,683",0,"16,000","-16,000","1,192,000","1,960,683","-768,683","-870,683"
10-31,"119,124","16,000","103,124",0,0,0,0,0,0,"-1,140,762",0,"4,000","-4,000","668,000","1,804,762","-1,136,762","-1,037,638"
11-1,"18,000","82,000","-64,000",0,0,0,0,0,0,"-306,039",0,0,0,"905,000","1,211,039","-306,039","-370,039"
11-2,61,"89,000","-88,939",0,0,0,0,0,0,"-348,856",0,"149,000","-149,000","570,000","769,856","-199,856","-437,795"
11-3,"40,000","196,000","-156,000",0,0,0,0,0,0,"-887,370",0,"158,000","-158,000","621,000","1,350,370","-729,370","-1,043,370"
11-6,"39,268","3,000","36,268",0,0,0,0,0,0,"-989,610",0,"14,000","-14,000","680,752","1,656,362","-975,610","-953,342"
